organisation_name,category,suburb,postcode,state,address_line,lga,phone,public_email,website_url,contact_form_url,tags,workshop_relevance,source_url,last_verified,notes,lat,lon,website_checked,email_quality
Autism Tasmania,Disability & NDIS Services,Hobart,7000,TAS,"1st Floor 146 Elizabeth Street, Hobart TAS 7000",Hobart,(03) 6231 2937,admin@autismtas.org.au,https://www.autismtas.org.au,https://www.autismtas.org.au/contact/,"autism,disability,advocacy",Peak autism body in Tasmania and key partner for workshop promotion.,https://www.autismtas.org.au,2026-03-10,,,,true,valid
St Giles,Disability & NDIS Services,Launceston,7250,TAS,"2 Hoblers Bridge Road, Newstead TAS 7250",Launceston,(03) 6345 7799,info@stgiles.org.au,https://www.stgiles.org.au,https://www.stgiles.org.au/contact/,"disability,ndis,therapy,early-intervention",Major disability service provider offering therapy and early intervention across Tasmania.,https://www.stgiles.org.au,2026-03-10,,,,true,valid
Li-Ve Tasmania,Disability & NDIS Services,Launceston,7250,TAS,"62 George Street, Launceston TAS 7250",Launceston,(03) 6335 5555,admin@livetasmania.org,https://www.livetasmania.org,https://www.livetasmania.org/contact/,"disability,ndis,community-participation",Disability support services across northern and north-west Tasmania.,https://www.livetasmania.org,2026-03-10,,,,true,valid
Mosaic Support Services,Disability & NDIS Services,Moonah,7009,TAS,"2 Sunderland Street, Moonah TAS 7009",Glenorchy,(03) 6208 0800,info@mosaictas.org.au,https://www.mosaictas.org.au,,"disability,ndis,supported-living",Disability support provider with family-facing programs relevant for workshop referrals.,https://www.mosaictas.org.au,2026-03-10,,,,true,valid
Possability,Disability & NDIS Services,Hobart,7000,TAS,"Level 1 113 Harrington Street, Hobart TAS 7000",Hobart,(03) 6231 6699,info@possability.com.au,https://www.possability.com.au,,"disability,ndis,support-coordination",NDIS provider with family support services relevant for workshop outreach.,https://www.possability.com.au,2026-03-10,,,,true,valid
Anglicare Tasmania,NGOs/Charities (family, disability, mental health),TAS,"7000, TAS, 46 St Johns Avenue, New Town TAS 7008",Hobart,(03) 6213 3555,,https://www.anglicare-tas.org.au,https://www.anglicare-tas.org.au/contact/,"family-support,mental-health,community-services",Major family and community service provider with strong family engagement networks.,https://www.anglicare-tas.org.au,2026-03-10,,,,true,missing
Mission Australia Tasmania,NGOs/Charities (family, disability, mental health),TAS,"7000, TAS, 1st Floor 39 Murray Street, Hobart TAS 7000",Hobart,1800 085 085,,https://www.missionaustralia.com.au,https://www.missionaustralia.com.au/contact-us,"family-support,youth,housing",National NGO with Tasmanian family and youth support programs for workshop promotion.,https://www.missionaustralia.com.au,2026-03-10,,,,true,missing
Colony 47,NGOs/Charities (family, disability, mental health),TAS,"7000, TAS, 2 Montpelier Retreat, Battery Point TAS 7004",Hobart,(03) 6234 9138,admin@colony47.com.au,https://www.colony47.com.au,https://www.colony47.com.au/contact/,"community-services,homelessness,youth",Community services organisation with family and youth support pathways.,https://www.colony47.com.au,2026-03-10,,,,true,valid
CatholicCare Tasmania,NGOs/Charities (family, disability, mental health),TAS,"7000, TAS, 2 Church Street, North Hobart TAS 7000",Hobart,(03) 6278 1660,,https://www.catholiccaretas.org.au,,"family-support,counselling,community",Family and community services provider with counselling and support programs.,https://www.catholiccaretas.org.au,2026-03-10,,,,true,missing
Salvation Army Tasmania (Hobart),Faith-Based Community Organisations,Hobart,7000,TAS,"167 Macquarie Street, Hobart TAS 7000",Hobart,(03) 6270 0700,,https://www.salvationarmy.org.au,,"faith-based,community-support,family",Community-facing services with family support and welfare programs.,https://www.salvationarmy.org.au,2026-03-10,,,,true,missing
